pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass
11 Com b,1,2,1,Radial Velocity,2007,323.21,1.178,,,,,0.238,,G8 III,4874.0,13.76,2.09
11 UMi b,1,1,1,Radial Velocity,2009,516.21997,1.53,,,,,0.08,,,4213.0,29.79,2.78
14 And b,1,1,1,Radial Velocity,2008,186.76,0.775,,,,,0.0,,K0 III,4888.0,11.55,1.78
14 Her b,1,1,2,Radial Velocity,2002,1765.0389,2.774,,,2559.47216,8.053,0.373,,,,,0.91
16 Cyg B b,1,3,1,Radial Velocity,1996,798.5,1.66,,,,,0.68,,,5750.0,1.13,1.08
17 Sco b,1,1,1,Radial Velocity,2020,578.38,1.45,,,,,0.06,,K3 III,4157.0,25.92,1.22
18 Del b,1,2,1,Radial Velocity,2008,982.85,2.476,,,,,0.024,,G6 III,4980.0,8.8,2.1
1RXS J160929.1-210524 b,1,1,1,Imaging,2008,,330.0,,,3000.0,8.0,,1700,K7 V,4060.0,,0.85
24 Boo b,1,1,1,Radial Velocity,2018,30.33,0.194,,,,,0.032,,G3 IV,4816.0,12.19,1.05
24 Sex b,1,1,2,Radial Velocity,2010,452.8,1.333,,,,,0.09,,,5098.0,4.9,1.54
24 Sex c,1,1,2,Radial Velocity,2010,883.0,2.08,,,,,0.29,,,5098.0,4.9,1.54
2M0437 b,1,1,1,Imaging,2021,,118.0,,,1271.31363,4.0,,1450,M V,3100.0,0.84,0.17
2MASS J01033563-5515561 AB b,1,2,1,Imaging,2013,,84.0,,,4131.79,13.0,,,M5.5/M6,,,0.19
2MASS J01225093-2439505 b,1,1,1,Imaging,2013,,52.0,,,7786.5,24.5,,,M3.5 V,3530.0,,0.4
2MASS J02192210-3925225 b,1,1,1,Imaging,2015,,156.0,16.141,1.44,4417.837,13.9,,,M6,3064.0,0.28,0.11
2MASS J0249-0557 c,1,2,1,Imaging,2018,,1950.0,,,3686.80952,11.6,,,M6 V,,,0.05
2MASS J03590986+2009361 b,1,1,1,Imaging,2024,,572.0,,,5720.91133,18.0,,2369,,,,
2MASS J04414489+2301513 b,1,1,1,Imaging,2010,,15.0,,,2383.6,7.5,,,M8.5,,,0.02
2MASS J11011926-7732383 b,1,1,1,Imaging,2024,,266.0,,,8899.1954,28.0,,2677,,,,
2MASS J11550485-7919108 b,1,1,1,Imaging,2024,,587.0,,,6356.56814,20.0,,2506,,,,
2MASS J12073346-3932539 b,1,1,1,Imaging,2004,,55.0,,,1589.15,5.0,,1250,M8,,,0.02
2MASS J19383260+4603591 b,1,2,3,Eclipse Timing Variations,2015,406.0,,,,,,0.33,,,29564.0,0.2,0.48
2MASS J21252752-8138278 b,1,1,1,Imaging,2024,,7493.0,,,3813.94088,12.0,,1616,,,,
2MASS J22362452+4751425 b,1,1,1,Imaging,2016,,230.0,,,3972.875,12.5,,,K7 V,4045.0,,0.6
30 Ari B b,1,4,1,Radial Velocity,2009,335.10001,0.99,,,,,0.29,,,6331.0,1.41,1.93
4 UMa b,1,1,1,Radial Velocity,2006,270.27,0.877,,,,,0.453,,K1 III,4415.0,18.11,1.23
42 Dra b,1,2,1,Radial Velocity,2008,479.1,1.19,,,,,0.38,,K1.5 III,4200.0,22.03,0.98
47 UMa b,1,1,3,Radial Velocity,1996,1078.0,2.1,,,,,0.032,,,5872.0,1.21,1.06
47 UMa c,1,1,3,Radial Velocity,2001,2391.0,3.6,,,,,0.098,,,5872.0,1.21,1.06
47 UMa d,1,1,3,Radial Velocity,2009,14002.0,11.6,,,,,0.16,,,5872.0,1.21,1.06
51 Eri b,1,3,1,Imaging,2015,,13.2,,,635.66,2.0,,700,F0 IV,,,1.75
51 Peg b,1,1,1,Radial Velocity,1995,4.230785,0.0527,,,,,0.013,,,5758.0,1.18,1.03
55 Cnc b,1,2,5,Radial Velocity,1996,14.6516,0.1134,,,,,0.0,,,5172.0,0.94,0.91
55 Cnc c,1,2,5,Radial Velocity,2004,44.3989,0.2373,,,,,0.03,,,5172.0,0.94,0.91
55 Cnc d,1,2,5,Radial Velocity,2002,5574.2,5.957,,,,,0.13,,,5172.0,0.94,0.91
55 Cnc e,1,2,5,Radial Velocity,2004,0.7365474,0.01544,1.875,0.167,7.99,0.02514,0.05,,,5172.0,0.94,0.91
55 Cnc f,1,2,5,Radial Velocity,2007,259.88,0.7708,,,,,0.08,,,5172.0,0.94,0.91
6 Lyn b,1,1,1,Radial Velocity,2008,919.86,2.028,,,,,0.042,,K0 IV,4941.0,4.94,1.32
61 Vir b,1,1,3,Radial Velocity,2009,4.215,0.050201,,,,,0.12,,G5 V,5577.0,0.96,0.94
61 Vir c,1,1,3,Radial Velocity,2009,38.021,0.2175,,,,,0.14,,G5 V,5577.0,0.96,0.94
61 Vir d,1,1,3,Radial Velocity,2009,123.01,0.476,,,,,0.35,,G5 V,5577.0,0.96,0.94
7 CMa b,1,1,2,Radial Velocity,2011,735.1,1.758,,,,,0.06,,,4826.0,4.87,1.34
7 CMa c,1,1,2,Radial Velocity,2019,996.0,2.153,,,,,0.08,,,4826.0,4.87,1.34
70 Vir b,1,1,1,Radial Velocity,1996,116.688,0.481,,,,,0.3988,,,5495.0,1.89,1.09
75 Cet b,1,2,2,Radial Velocity,2012,696.62,1.912,,,,,0.093,,G3 III,4809.0,10.38,1.92
75 Cet c,1,2,2,Radial Velocity,2023,2051.62,3.929,,,,,0.023,,G3 III,4809.0,10.38,1.92
8 UMi b,1,1,1,Radial Velocity,2015,93.4,0.49,,,,,0.06,,,4847.0,10.3,1.44
81 Cet b,1,1,1,Radial Velocity,2008,1005.57,2.104,,,,,0.037,,G5 III,4734.0,11.21,1.23
91 Aqr b,1,3,1,Radial Velocity,2013,181.4,0.7,,,,,0.027,,K0 III,4665.0,11.0,1.4
AB Aur b,1,1,1,Imaging,2022,,93.9,,,2860.45566,9.0,0.4,,,9770.0,,2.4
AB Pic b,1,1,1,Imaging,2005,,260.0,,,4290.5,13.5,,,K2 V,,,
AF Lep b,1,1,1,Imaging,2023,8030.0,8.4,,,1017.0509,3.2,0.24,,F8 V,6130.0,1.25,1.2
AU Mic b,1,1,3,Transit,2020,8.46308,0.0649,3.957,0.353,,,0.00577,600,,3678.0,0.74,0.51
AU Mic c,1,1,3,Transit,2021,18.85969,0.1108,2.522,0.225,,,0.00338,459,,3678.0,0.74,0.51
AU Mic d,1,1,3,Transit Timing Variations,2023,12.73596,,,,1.053,0.00331,0.00305,,,3678.0,0.74,0.51
BD+03 2562 b,1,1,1,Radial Velocity,2017,481.9,1.3,,,,,0.2,,,4095.0,32.35,1.14
BD+14 4559 b,1,1,1,Radial Velocity,2009,268.94,0.78,,,,,0.29,,,4864.0,0.86,0.49
BD+15 2375 b,1,1,1,Radial Velocity,2016,153.22,0.576,,,,,0.001,,,4649.0,8.95,1.08
BD+15 2940 b,1,1,1,Radial Velocity,2013,137.48,0.539,,,,,0.26,,K0,4796.0,14.7,1.1
BD+20 2457 b,1,1,2,Radial Velocity,2009,379.63,1.45,,,,,0.15,,K2 II,4137.0,49.0,2.8
BD+20 2457 c,1,1,2,Radial Velocity,2009,621.99,2.01,,,,,0.18,,K2 II,4137.0,49.0,2.8
BD+20 274 b,1,1,1,Radial Velocity,2012,578.2,1.3,,,,,0.21,,K5 III,4296.0,17.3,0.8
BD+20 594 b,1,1,1,Transit,2016,41.6855,,2.578,0.23,22.2481,0.07,0.0,,,5766.0,1.08,1.67
BD+45 564 b,1,1,1,Radial Velocity,2021,307.88,0.83,,,,,0.12,,K1,5004.0,,0.81
BD+48 738 b,1,1,1,Radial Velocity,2011,392.6,1.0,,,,,0.2,,K0 III,4414.0,11.0,0.74
BD+48 740 b,1,1,1,Radial Velocity,2018,733.0,1.7,,,,,0.76,,,4534.0,10.33,1.09
BD+49 828 b,1,1,1,Radial Velocity,2015,2590.0,4.2,,,,,0.35,,K0,4943.0,7.6,1.52
BD+55 362 b,1,1,1,Radial Velocity,2021,265.59,0.78,,,,,0.27,,K3,5012.0,,0.91
BD+60 1417 b,1,1,1,Imaging,2021,,1662.0,14.684,1.31,4767.4261,15.0,,1303,K0,4993.0,0.8,1.0
BD+63 1405 b,1,1,1,Radial Velocity,2021,1198.48,2.06,,,,,0.88,,K0,5000.0,,0.82
BD-06 1339 b,1,1,2,Radial Velocity,2013,3.8728,0.0428,,,,,0.0,,K7/M0 V,4324.0,,0.7
BD-06 1339 c,1,1,2,Radial Velocity,2013,125.94,0.435,,,,,0.31,,K7/M0 V,4324.0,,0.7
BD-08 2823 b,1,1,2,Radial Velocity,2009,5.6,0.06,,,,,0.15,,,4816.0,0.71,0.5
BD-08 2823 c,1,1,2,Radial Velocity,2009,237.6,0.68,,,,,0.19,,K3 V,4746.0,,0.74
BD-10 3166 b,1,1,1,Radial Velocity,2000,3.48777,0.04,,,,,0.02,,,5393.0,0.91,1.47
BD-11 4672 b,1,1,2,Radial Velocity,2014,1634.0,2.36,,,,,0.05,,,4550.0,0.64,0.65
BD-11 4672 c,1,1,2,Radial Velocity,2020,74.2,0.3,,,,,0.4,,,4550.0,0.64,0.65
BD-13 2130 b,1,1,1,Radial Velocity,2007,714.29999,1.66,,,,,0.21,,,4545.0,19.17,2.12
BD-14 3065 b,1,3,1,Transit,2024,4.2889731,0.0656,21.59,1.926,3932.0,12.37,0.066,2001,,6935.0,2.35,1.41
BD-17 63 b,1,1,1,Radial Velocity,2008,655.57,,,,1639.99458,5.16,0.5439,,,,,0.74
BD-210397 b,1,1,2,Radial Velocity,2023,1891.0,2.63,,,,,0.1,,K7 V,4051.0,0.75,0.68
BD-210397 c,1,1,2,Radial Velocity,2023,6240.0,5.9,,,1525.57635,4.8,0.43,,K7 V,,,0.69
