pl_name,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_massjlim,pl_dens,st_mass
xi Aql b,1,1,1,136.97,0.625,,,,,,,1.74
ups Leo b,1,1,1,385.2,1.18,,,,,,,1.48
ups And d,1,2,3,1276.46,2.51329,,,,,,,1.3
ups And c,1,2,3,241.258,0.827774,,,,,,,1.3
ups And b,1,2,3,4.617033,0.059222,,,,,,,1.3
tau Gem b,1,1,1,305.5,1.17,,,,,,,2.3
tau Cet h,1,1,4,49.41,0.243,,,,,,,0.78
tau Cet g,1,1,4,20.0,0.133,,,,,,,0.78
tau Cet f,1,1,4,636.13,1.334,,,,,,,0.78
tau Cet e,1,1,4,162.87,0.538,,,,,,,0.78
tau Boo b,1,2,1,3.3124568,0.049,,,,,,,1.32
rho CrB e,1,1,4,12.949,0.1061,,,,,,,0.95
rho CrB d,1,1,4,282.2,0.827,,,,,,,0.95
rho CrB c,1,1,4,102.19,0.4206,,,,,,,0.95
rho CrB b,1,1,4,39.8438,0.2245,,,,,,,0.95
psi1 Dra B b,1,3,1,3117.0,4.43,,,,,,,1.19
pi Men d,1,1,3,124.64,,,,,,,,1.07
pi Men c,1,1,3,6.26791,0.069,,,,,,,1.1
omi UMa b,1,2,1,1569.81,3.691,,,,,,,2.72
omi CrB b,1,1,1,187.01,0.699,,,,,,,1.3
ome Ser b,1,2,1,278.59,0.838,,,,,,,1.01
nu Oph c,1,1,2,3180.6,5.829,,,,,,,2.61
nu Oph b,1,1,2,529.93,1.765,,,,,,,2.61
nu Oct A b,1,2,1,417.0,1.25,,,762.78818,2.4,0,,1.61
mu2 Sco b,1,1,1,,242.4,,,4576.72906,14.4,0,,9.1
mu Leo b,1,1,1,357.8,1.1,,,,,,,1.5
kap CrB b,1,1,1,1253.68,2.5,,,,,,,1.33
kap And b,1,1,1,,55.0,,,4327.36,13.616,0,,2.6
iot Dra c,1,1,2,25000.0,19.4,,,,,,,1.54
iot Dra b,1,1,2,510.8544,1.453,,,,,,,1.54
gam1 Leo b,1,2,1,428.5,1.19,,,,,,,1.23
gam Psc b,1,1,1,555.1,1.32,,,,,,,0.99
gam Lib c,1,1,2,966.49,2.318,,,,,,,1.78
gam Lib b,1,1,2,414.88,1.319,,,,,,,1.78
gam Cep b,1,2,1,913.0,,,,2097.66749,6.6,0,,1.27
eps Tau b,1,1,1,585.82,1.878,,,,,,,2.57
eps Ind A b,1,3,1,,28.4,,,2005.49725,6.31,0,,0.76
eps Eri b,1,1,1,2671.0,3.53,,,209.76675,0.66,0,,0.82
eps CrB b,1,1,1,417.9,1.3,,,,,,,1.7
bet UMi b,1,1,1,522.3,1.4,,,,,,,1.4
bet Pic c,1,1,2,1192.77951,2.68,,,3222.46222,10.139,0,,1.79
bet Pic b,1,1,2,8617.50952,10.018,,,3727.80939,11.729,0,,1.79
bet Cnc b,1,2,1,605.2,1.7,,,,,,,1.7
b Cen AB b,1,2,1,1790000.0,556.0,,,3464.32964,10.9,0,,5.5
alf Tau b,1,2,1,628.96,1.46,,,,,,,1.13
alf Ari b,1,1,1,380.8,1.2,,,,,,,1.5
YZ Cet d,1,1,3,4.65626,0.02851,,,,,,,0.14
YZ Cet c,1,1,3,3.05989,0.02156,,,,,,,0.14
YZ Cet b,1,1,3,2.02087,0.01634,,,,,,,0.14
YSES 2 b,1,1,1,,115.0,,,2002.31896,6.3,0,,1.1
XO-7 b,1,1,1,2.8641424,0.04421,15.39,1.373,225.34147,0.709,0,0.34,1.41
XO-6 b,1,1,1,3.7650007,0.0815,23.203,2.07,1398.452,4.4,1,0.62,1.47
XO-5 b,1,1,1,4.1877558,0.0515,12.78,1.14,378.2,1.19,0,1.06,1.04
XO-4 b,1,1,1,4.12508,,14.011,1.25,451.3186,1.42,0,,1.1
XO-3 b,1,1,1,3.19154,,15.805,1.41,2316.9807,7.29,0,,0.58
XO-2 S c,1,2,3,120.8,0.4756,,,,,,,0.98
XO-2 S b,1,2,3,18.157,0.13,,,,,,,0.98
